               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1035,            0.022243,            0.073034,           0.0092898,           0.0070922,           0.0014439,          0.00033474,            0.098575,            0.016357,            0.074352,            0.070082,           0.0033242,           0.0033242
                   1,            0.088428,            0.022351,            0.066778,             0.58825,            0.056352,             0.07173,            0.028522,            0.069355,             0.02251,            0.058964,                0.04,           0.0065752,           0.0065752
                   2,             0.06553,            0.019893,            0.053523,             0.19979,             0.53241,             0.23116,             0.12949,            0.049782,            0.010967,            0.050653,           0.0098347,           0.0097436,           0.0097436
                   3,            0.054086,            0.016814,            0.045437,             0.25861,             0.76423,             0.40814,             0.22403,            0.037964,           0.0062964,            0.044716,           0.0096288,           0.0096288,           0.0096288
                   4,            0.046133,            0.014411,            0.040799,             0.27844,              0.7465,             0.43917,             0.26399,            0.034718,           0.0058043,            0.042434,           0.0096288,           0.0096288,           0.0096288
                   5,            0.041411,            0.013204,            0.038892,             0.31966,             0.77308,              0.5056,             0.32411,            0.029732,           0.0048022,            0.042048,            0.009505,            0.009505,            0.009505
                   6,            0.037734,            0.012381,             0.03696,             0.32417,             0.79998,             0.54525,             0.34826,            0.028884,           0.0046725,            0.041372,           0.0093813,           0.0093813,           0.0093813
                   7,            0.035772,            0.011821,            0.036322,             0.35441,             0.79167,             0.54051,             0.36766,            0.025578,           0.0045226,            0.041017,           0.0092575,           0.0092575,           0.0092575
                   8,            0.033784,            0.011444,             0.03497,             0.34426,             0.77723,              0.5631,             0.39904,            0.024078,            0.004204,            0.039686,           0.0091337,           0.0091337,           0.0091337
                   9,            0.032521,            0.010865,            0.034678,             0.38341,             0.78856,             0.58449,             0.42698,            0.023025,             0.00407,            0.039238,             0.00901,             0.00901,             0.00901
